Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.952000","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","4.069000","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","4.262000","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.280000","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.388000","E"
"3","'008","Albania","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.599000","E"
"3","'008","Albania","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","1.204000","E"
"3","'008","Albania","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.441000","E"
"3","'008","Albania","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.707000","E"
"3","'008","Albania","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.911000","E"
"3","'008","Albania","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.089000","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","31.300000","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","23.000000","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","22.200000","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","19.900000","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","15.900000","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","0.900000","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","0.700000","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","0.600000","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","0.600000","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","0.400000","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.763000","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.822000","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.796000","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","3.760000","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.043000","E"
"4","'012","Algeria","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.496000","E"
"4","'012","Algeria","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.964000","E"
"4","'012","Algeria","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.493000","E"
"4","'012","Algeria","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.699000","E"
"4","'012","Algeria","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.979000","E"
"4","'012","Algeria","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.132000","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","32.500000","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","31.200000","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","29.200000","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","31.100000","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","32.400000","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","13.400000","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","13.100000","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","12.500000","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","13.500000","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","14.300000","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","4.327000","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","4.293000","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","4.352000","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.585000","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","5.031000","E"
"7","'024","Angola","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.839000","E"
"7","'024","Angola","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","1.011000","E"
"7","'024","Angola","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.395000","E"
"7","'024","Angola","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","1.199000","E"
"7","'024","Angola","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.717000","E"
"7","'024","Angola","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.166000","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","81.400000","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","82.700000","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","83.900000","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","86.700000","E"
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","88.100000","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","24.600000","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","25.800000","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","27.100000","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","29.000000","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","30.400000","E"
"258","'660","Anguilla","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.778000","E"
"258","'660","Anguilla","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.647000","E"
"258","'660","Anguilla","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.328000","E"
"258","'660","Anguilla","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","1.019000","E"
"258","'660","Anguilla","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.811000","E"
"258","'660","Anguilla","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.134000","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","4.112000","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","4.302000","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","4.391000","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.504000","E"
"8","'028","Antigua and Barbuda","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.684000","E"
"8","'028","Antigua and Barbuda","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.604000","E"
"8","'028","Antigua and Barbuda","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.682000","E"
"8","'028","Antigua and Barbuda","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.429000","E"
"8","'028","Antigua and Barbuda","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","1.279000","E"
"8","'028","Antigua and Barbuda","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","1.003000","E"
"8","'028","Antigua and Barbuda","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.115000","E"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%",,"O"
"8","'028","Antigua and Barbuda","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No",,"O"
"8","'028","Antigua and Barbuda","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No",,"O"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.341000","E"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day",,"Q"
"9","'032","Argentina","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.463000","E"
"9","'032","Argentina","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.669000","E"
"9","'032","Argentina","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.656000","E"
"9","'032","Argentina","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.703000","E"
"9","'032","Argentina","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.733000","E"
"9","'032","Argentina","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.117000","E"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","6.800000","E"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%",,"Q"
"9","'032","Argentina","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","3.000000","E"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No",,"Q"
"9","'032","Argentina","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No",,"Q"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.096000","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.166000","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.237000","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","3.247000","E"
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","3.527000","E"
"1","'051","Armenia","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.537000","E"
"1","'051","Armenia","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.973000","E"
"1","'051","Armenia","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.541000","E"
"1","'051","Armenia","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.433000","E"
"1","'051","Armenia","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.488000","E"
"1","'051","Armenia","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.123000","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","37.100000","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","37.900000","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","40.000000","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","39.000000","E"
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","41.400000","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","1.100000","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","1.100000","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","1.100000","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","1.100000","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","1.200000","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.418000","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.620000","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.907000","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.007000","E"
"22","'533","Aruba","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.116000","E"
"22","'533","Aruba","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.797000","E"
"22","'533","Aruba","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.718000","E"
"22","'533","Aruba","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.407000","E"
"22","'533","Aruba","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.907000","E"
"22","'533","Aruba","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.475000","E"
"22","'533","Aruba","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.115000","E"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%",,"O"
"22","'533","Aruba","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No",,"O"
"22","'533","Aruba","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No",,"O"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","2.259000","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","2.283000","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","2.296000","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","2.389000","E"
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","2.437000","E"
"10","'036","Australia","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.221000","E"
"10","'036","Australia","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.458000","E"
"10","'036","Australia","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.249000","E"
"10","'036","Australia","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.597000","E"
"10","'036","Australia","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.667000","E"
"10","'036","Australia","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.067000","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","0.700000","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","0.700000","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","0.700000","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","0.700000","E"
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","0.700000","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","0.200000","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","0.200000","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","0.200000","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","0.200000","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","0.200000","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","2.772000","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","2.848000","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","2.915000","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","3.004000","E"
"11","'040","Austria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","3.027000","E"
"11","'040","Austria","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.229000","E"
"11","'040","Austria","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.612000","E"
"11","'040","Austria","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.360000","E"
"11","'040","Austria","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.698000","E"
"11","'040","Austria","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.819000","E"
"11","'040","Austria","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.055000","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","0.600000","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","0.800000","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","0.800000","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","1.000000","E"
"11","'040","Austria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","0.900000","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","0.100000","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","0.100000","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","0.100000","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","0.100000","E"
"11","'040","Austria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","0.100000","E"
"52","'031","Azerbaijan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","2.348000","E"
"52","'031","Azerbaijan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","2.399000","E"
"52","'031","Azerbaijan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","2.459000","E"
"52","'031","Azerbaijan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","2.533000","E"
"52","'031","Azerbaijan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","2.690000","E"
"52","'031","Azerbaijan","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.448000","E"
"52","'031","Azerbaijan","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.729000","E"
"52","'031","Azerbaijan","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.463000","E"
"52","'031","Azerbaijan","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.317000","E"
"52","'031","Azerbaijan","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.260000","E"
"52","'031","Azerbaijan","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.132000","E"
"52","'031","Azerbaijan","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","0.000000","E"
