Area Code,M49 Code,Area
5100,'002,Africa
3,'008,Albania
4,'012,Algeria
5200,'019,Americas
7,'024,Angola
258,'660,Anguilla
5848,'907,Annex I countries
8,'028,Antigua and Barbuda
9,'032,Argentina
1,'051,Armenia
22,'533,Aruba
5300,'142,Asia
10,'036,Australia
5501,'053,Australia and New Zealand
11,'040,Austria
52,'031,Azerbaijan
12,'044,Bahamas
13,'048,Bahrain
16,'050,Bangladesh
57,'112,Belarus
255,'056,Belgium
23,'084,Belize
53,'204,Benin
17,'060,Bermuda
18,'064,Bhutan
19,'068,Bolivia (Plurinational State of)
80,'070,Bosnia and Herzegovina
20,'072,Botswana
21,'076,Brazil
239,'092,British Virgin Islands
26,'096,Brunei Darussalam
27,'100,Bulgaria
233,'854,Burkina Faso
29,'108,Burundi
35,'132,Cabo Verde
115,'116,Cambodia
32,'120,Cameroon
33,'124,Canada
5206,'029,Caribbean
5857,'135,Caucasus and Central Asia
36,'136,Cayman Islands
37,'140,Central African Republic
5204,'013,Central America
5301,'143,Central Asia
5306,'062,Central Asia and Southern Asia
39,'148,Chad
40,'152,Chile
96,'344,China; Hong Kong SAR
41,'156,China; mainland
214,'158,China; Taiwan Province of
44,'170,Colombia
46,'178,Congo
48,'188,Costa Rica
107,'384,Côte d'Ivoire
98,'191,Croatia
279,'531,Curaçao
50,'196,Cyprus
167,'203,Czechia
250,'180,Democratic Republic of the Congo
54,'208,Denmark
72,'262,Djibouti
55,'212,Dominica
56,'214,Dominican Republic
5101,'014,Eastern Africa
5302,'030,Eastern Asia
5829,'223,Eastern Asia (excluding Japan and China)
5307,'753,Eastern Asia and South-eastern Asia
5401,'151,Eastern Europe
58,'218,Ecuador
59,'818,Egypt
61,'226,Equatorial Guinea
63,'233,Estonia
209,'748,Eswatini
238,'231,Ethiopia
5400,'150,Europe
5707,'097,European Union (27)
66,'242,Fiji
67,'246,Finland
68,'250,France
74,'266,Gabon
75,'270,Gambia
79,'276,Germany
81,'288,Ghana
84,'300,Greece
86,'308,Grenada
90,'324,Guinea
175,'624,Guinea-Bissau
91,'328,Guyana
93,'332,Haiti
9010,'903,High-income economies
95,'340,Honduras
97,'348,Hungary
99,'352,Iceland
100,'356,India
101,'360,Indonesia
102,'364,Iran (Islamic Republic of)
103,'368,Iraq
104,'372,Ireland
105,'376,Israel
106,'380,Italy
109,'388,Jamaica
110,'392,Japan
112,'400,Jordan
108,'398,Kazakhstan
114,'404,Kenya
118,'414,Kuwait
113,'417,Kyrgyzstan
5802,'432,Land Locked Developing Countries
120,'418,Lao People's Democratic Republic
5205,'419,Latin America and the Caribbean
119,'428,Latvia
5801,'199,Least Developed Countries
122,'426,Lesotho
123,'430,Liberia
126,'440,Lithuania
5858,'904,Low income economies
5815,'901,Low Income Food Deficit Countries
5859,'905,Lower-middle-income economies
256,'442,Luxembourg
129,'450,Madagascar
130,'454,Malawi
131,'458,Malaysia
132,'462,Maldives
133,'466,Mali
134,'470,Malta
136,'478,Mauritania
137,'480,Mauritius
138,'484,Mexico
5102,'017,Middle Africa
141,'496,Mongolia
273,'499,Montenegro
142,'500,Montserrat
143,'504,Morocco
144,'508,Mozambique
28,'104,Myanmar
147,'516,Namibia
149,'524,Nepal
5817,'902,Net Food Importing Developing Countries
150,'528,Netherlands (Kingdom of the)
156,'554,New Zealand
157,'558,Nicaragua
158,'562,Niger
159,'566,Nigeria
5849,'908,Non-Annex I countries
336,'637,North and Central America
154,'807,North Macedonia
5103,'015,Northern Africa
429,'746,Northern Africa (excluding Sudan)
5203,'021,Northern America
5208,'513,Northern America and Europe
5402,'154,Northern Europe
162,'578,Norway
5500,'009,Oceania
5873,'198,OECD
221,'512,Oman
165,'586,Pakistan
299,'275,Palestine
166,'591,Panama
169,'600,Paraguay
170,'604,Peru
171,'608,Philippines
173,'616,Poland
174,'620,Portugal
179,'634,Qatar
117,'410,Republic of Korea
146,'498,Republic of Moldova
183,'642,Romania
185,'643,Russian Federation
184,'646,Rwanda
188,'659,Saint Kitts and Nevis
189,'662,Saint Lucia
191,'670,Saint Vincent and the Grenadines
193,'678,Sao Tome and Principe
194,'682,Saudi Arabia
195,'686,Senegal
272,'688,Serbia
196,'690,Seychelles
197,'694,Sierra Leone
200,'702,Singapore
280,'534,Sint Maarten (Dutch part)
199,'703,Slovakia
198,'705,Slovenia
5803,'722,Small Island Developing States
202,'710,South Africa
5207,'005,South America
5304,'035,South-eastern Asia
5104,'018,Southern Africa
5303,'034,Southern Asia
5855,'127,Southern Asia (excluding India)
5403,'039,Southern Europe
203,'724,Spain
38,'144,Sri Lanka
420,'202,Sub-Saharan Africa
5810,'738,Sub-Saharan Africa (including Sudan)
276,'729,Sudan
207,'740,Suriname
210,'752,Sweden
211,'756,Switzerland
208,'762,Tajikistan
216,'764,Thailand
220,'780,Trinidad and Tobago
222,'788,Tunisia
223,'792,Türkiye
224,'796,Turks and Caicos Islands
226,'800,Uganda
225,'784,United Arab Emirates
229,'826,United Kingdom of Great Britain and Northern Ireland
215,'834,United Republic of Tanzania
231,'840,United States of America
9011,'906,Upper-middle-income economies
234,'858,Uruguay
237,'704,Viet Nam
5105,'011,Western Africa
5305,'145,Western Asia
5828,'485,Western Asia (exc. Armenia; Azerbaijan; Cyprus; Israel and Georgia)
5308,'747,Western Asia and Northern Africa
5404,'155,Western Europe
5000,'001,World
251,'894,Zambia
181,'716,Zimbabwe
