Area Code,Area,Year,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",Coefficient of human inequality,Difference from HDI value (%),Expected Years of Schooling (years),"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",Gender Development Index (value),Gender Inequality Index (value),"Gross National Income Per Capita, female (2017 PPP$)","Gross National Income Per Capita, male (2017 PPP$)",Gross National Income Per Capita (2017 PPP$),Human Development Index (value),HDI female,HDI male,Inequality-adjusted Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,Life Expectancy at Birth (years),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)",Overall loss (%),Material footprint per capita (tonnes),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),"Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)",Planetary pressures–adjusted Human Development Index (value),"Population, total (millions)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)"
2,Afghanistan,2017,90.342,34.22000333,0.618556701,10.51956487,8.002035141,12.91518521,0.696,0.681,800.8749818,3416.103907,2123.676477,0.485,0.382081775,0.548852368,0.316,45.36517,29.2251,28.06974,63.016,66.099,60.105,21.17,73.16,34.84536082,1.3022,681.8075592,2.411230008,1.269706647,3.424496651,0.482,35.6434175,27.44479495,72.55520505,5.182189941,19.18350951
2,Afghanistan,2018,88.431,34.032113,0.617283951,10.53785992,7.987030029,12.96442032,0.701,0.678,761.2153687,3373.607531,2082.113799,0.486,0.383898464,0.547874087,0.318,45.36517,29.2251,27.506069,63.081,66.458,59.923,19.61,71.05,34.56790123,1.3271,663.4275029,2.554690003,1.53004998,3.41869998,0.483,36.686784,27.44479495,72.55520505,5.485574961,18.1040597
2,Afghanistan,2019,86.803,33.87052,0.81300813,10.62129205,8.020075111,13.09576951,0.7,0.676,739.77883,3456.606979,2112.986381,0.492,0.38715745,0.553457617,0.323,45.36517,29.2251,27.02129,63.565,66.677,60.619,18.06,68.95,34.3495935,1.5055,644.2725467,2.698149999,1.790393313,3.412903309,0.488,37.7694985,27.24358974,72.75641026,5.78895998,17.02460988
2,Afghanistan,2020,84.296,33.67465633,0.819672131,10.70538475,8.053256911,13.22844948,0.695,0.674,670.9962486,3275.057369,1986.803772,0.488,0.38137318,0.548740892,0.321,45.36517,29.2251,26.433699,62.575,65.432,59.866,16.5,66.84,34.22131148,1.5554,620.4075093,2.841609995,2.050736646,3.407106638,0.484,38.9722305,27.21518987,72.78481013,6.092344999,15.94516007
2,Afghanistan,2021,82.565,33.58521233,0.634249471,10.70538475,8.053256911,13.22844948,0.717,0.653,618.8682881,2430.862265,1534.135377,0.473,0.379129485,0.528559011,0.311,45.36517,29.2251,26.165367,61.982,65.279,58.915,23.33,77.09,34.24947146,1.2351,620.4075093,2.98506999,2.311079979,3.401309967,0.47,40.099462,27.21518987,72.78481013,6.395730019,14.86571026
3,Albania,2017,16.585,13.89087167,4.773869347,15.32594013,15.53131008,15.11301041,0.966,0.145,10252.22661,15339.76755,12802.17594,0.796,0.782182429,0.809305976,0.683,12.33344,23.21014,6.129035,79.047,81.504,76.873,49.57,66.52,14.1959799,10.1361,6.689697872,9.976699829,9.66989994,10.30484009,0.758,2.879355,27.85714286,72.14285714,81.18079376,86.09986877
3,Albania,2018,15.58,13.61178543,4.516938519,15.10783005,15.36147022,14.84558964,0.97,0.139,10910.04366,15686.44904,13302.73303,0.797,0.785035347,0.80911826,0.687,12.33344,22.35084,6.1510763,79.184,81.608,77.037,51.32,67.42,13.80175659,9.716,5.429292408,10.02484799,9.717089367,10.34784518,0.761,2.877013,27.85714286,72.14285714,81.53692426,86.22545725
3,Albania,2019,15.013,13.25548697,4.625,15.1776104,15.43577003,14.90935993,0.972,0.131,11282.14704,15676.46399,13481.9718,0.8,0.78842781,0.810817838,0.692,12.33344,21.17743,6.2555909,79.282,81.666,77.168,52.87,67.93,13.5,9.9268,5.30502305,10.07299615,9.764278793,10.39085028,0.763,2.8738835,29.50819672,70.49180328,81.89305475,86.35104572
3,Albania,2020,14.672,12.91216517,4.846938776,14.75971985,15.01955986,14.49291039,0.978,0.129,11153.64445,14983.69514,13069.1277,0.784,0.775403713,0.793219864,0.682,12.33344,19.73435,6.6687055,76.989,79.676,74.632,54.45,68.91,13.01020408,10.4704,8.276445584,10.12114431,9.811468219,10.43385538,0.746,2.8668485,29.50819672,70.49180328,82.24918524,86.47663419
3,Albania,2021,14.517,12.9528082,5.222929936,14.57174969,14.84924984,14.28942013,0.981,0.117,12550.78289,16252.40873,14399.78047,0.785,0.777866227,0.792941754,0.682,12.33344,19.73435,6.7906346,76.463,79.173,74.087,56.08,69.91,13.12101911,11.5865,8.276445584,10.12114431,9.811468219,10.43385538,0.744,2.85471,35.71428571,64.28571429,82.24918524,86.47663419
