Area Code,Area,Year,14.4.1 Proportion of fish stocks within biologically sustainable levels,14.6.1 International instruments to combat IUU fishing,14.7.1 Sustainable fisheries as a proportion of GDP,14.b.1 Protection of access rights for small-scale fisheries,15.1.1 Forest area,15.1.1 Forest area as a proportion of total land area,15.1.1 Land area,15.2.1 Above-ground biomass in forest,15.2.1 Annual forest area change rate,15.2.1 Forest area under an independently verified forest management certification scheme,15.2.1 Proportion of forest area with a long-term management plan,15.2.1 Proportion of forest area within legally established protected areas,15.4.2 Mountain area: Alpine,15.4.2 Mountain area: Montane,15.4.2 Mountain area: Nival,15.4.2 Mountain area: Remaining moutain area,15.4.2 Mountain area: Total,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Artificial surfaces,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Croplands,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Grassland,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Inland water bodies,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: MGCI,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Permanent snow and glaciers,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Shrub-covered areas,"15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Terrestrial barren land,15.4.2a Mountain Green Cover Index: Alpine; Land Cover: Tree-covered areas,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Artificial surfaces,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Croplands,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Grassland,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Inland water bodies,15.4.2a Mountain Green Cover Index: Montane; Land Cover: MGCI,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Permanent snow and glaciers,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Shrub-covered areas,"15.4.2a Mountain Green Cover Index: Montane; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain Green Cover Index: Montane; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Terrestrial barren land,15.4.2a Mountain Green Cover Index: Montane; Land Cover: Tree-covered areas,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Artificial surfaces,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Croplands,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Grassland,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Inland water bodies,15.4.2a Mountain Green Cover Index: Nival; Land Cover: MGCI,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Permanent snow and glaciers,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Shrub-covered areas,"15.4.2a Mountain Green Cover Index: Nival; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain Green Cover Index: Nival; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Terrestrial barren land,15.4.2a Mountain Green Cover Index: Nival; Land Cover: Tree-covered areas,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Artificial surfaces,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Croplands,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Grassland,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Inland water bodies,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: MGCI,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Permanent snow and glaciers,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Shrub-covered areas,"15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Terrestrial barren land,15.4.2a Mountain Green Cover Index: Remaining moutain area; Land Cover: Tree-covered areas,15.4.2a Mountain Green Cover Index: Total; Land Cover: Artificial surfaces,15.4.2a Mountain Green Cover Index: Total; Land Cover: Croplands,15.4.2a Mountain Green Cover Index: Total; Land Cover: Grassland,15.4.2a Mountain Green Cover Index: Total; Land Cover: Inland water bodies,15.4.2a Mountain Green Cover Index: Total; Land Cover: MGCI,15.4.2a Mountain Green Cover Index: Total; Land Cover: Permanent snow and glaciers,15.4.2a Mountain Green Cover Index: Total; Land Cover: Shrub-covered areas,"15.4.2a Mountain Green Cover Index: Total; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain Green Cover Index: Total; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain Green Cover Index: Total; Land Cover: Terrestrial barren land,15.4.2a Mountain Green Cover Index: Total; Land Cover: Tree-covered areas,15.4.2a Mountain green cover area: Alpine; Land Cover: Artificial surfaces,15.4.2a Mountain green cover area: Alpine; Land Cover: Croplands,15.4.2a Mountain green cover area: Alpine; Land Cover: Grassland,15.4.2a Mountain green cover area: Alpine; Land Cover: Inland water bodies,15.4.2a Mountain green cover area: Alpine; Land Cover: MGCI,15.4.2a Mountain green cover area: Alpine; Land Cover: Permanent snow and glaciers,15.4.2a Mountain green cover area: Alpine; Land Cover: Shrub-covered areas,"15.4.2a Mountain green cover area: Alpine; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain green cover area: Alpine; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain green cover area: Alpine; Land Cover: Terrestrial barren land,15.4.2a Mountain green cover area: Alpine; Land Cover: Tree-covered areas,15.4.2a Mountain green cover area: Montane; Land Cover: Artificial surfaces,15.4.2a Mountain green cover area: Montane; Land Cover: Croplands,15.4.2a Mountain green cover area: Montane; Land Cover: Grassland,15.4.2a Mountain green cover area: Montane; Land Cover: Inland water bodies,15.4.2a Mountain green cover area: Montane; Land Cover: MGCI,15.4.2a Mountain green cover area: Montane; Land Cover: Permanent snow and glaciers,15.4.2a Mountain green cover area: Montane; Land Cover: Shrub-covered areas,"15.4.2a Mountain green cover area: Montane; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain green cover area: Montane; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain green cover area: Montane; Land Cover: Terrestrial barren land,15.4.2a Mountain green cover area: Montane; Land Cover: Tree-covered areas,15.4.2a Mountain green cover area: Nival; Land Cover: Artificial surfaces,15.4.2a Mountain green cover area: Nival; Land Cover: Croplands,15.4.2a Mountain green cover area: Nival; Land Cover: Grassland,15.4.2a Mountain green cover area: Nival; Land Cover: Inland water bodies,15.4.2a Mountain green cover area: Nival; Land Cover: MGCI,15.4.2a Mountain green cover area: Nival; Land Cover: Permanent snow and glaciers,15.4.2a Mountain green cover area: Nival; Land Cover: Shrub-covered areas,"15.4.2a Mountain green cover area: Nival; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain green cover area: Nival; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain green cover area: Nival; Land Cover: Terrestrial barren land,15.4.2a Mountain green cover area: Nival; Land Cover: Tree-covered areas,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Artificial surfaces,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Croplands,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Grassland,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Inland water bodies,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: MGCI,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Shrub-covered areas,"15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Terrestrial barren land,15.4.2a Mountain green cover area: Remaining moutain area; Land Cover: Tree-covered areas,15.4.2a Mountain green cover area: Total; Land Cover: Artificial surfaces,15.4.2a Mountain green cover area: Total; Land Cover: Croplands,15.4.2a Mountain green cover area: Total; Land Cover: Grassland,15.4.2a Mountain green cover area: Total; Land Cover: Inland water bodies,15.4.2a Mountain green cover area: Total; Land Cover: MGCI,15.4.2a Mountain green cover area: Total; Land Cover: Permanent snow and glaciers,15.4.2a Mountain green cover area: Total; Land Cover: Shrub-covered areas,"15.4.2a Mountain green cover area: Total; Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",15.4.2a Mountain green cover area: Total; Land Cover: Sparsely natural vegetated areas,15.4.2a Mountain green cover area: Total; Land Cover: Terrestrial barren land,15.4.2a Mountain green cover area: Total; Land Cover: Tree-covered areas,15.4.2b Area of degraded mountain land: Alpine,15.4.2b Area of degraded mountain land: Montane,15.4.2b Area of degraded mountain land: Nival,15.4.2b Area of degraded mountain land: Remaining moutain area,15.4.2b Area of degraded mountain land: Total,15.4.2b Proportion of degraded mountain land: Alpine,15.4.2b Proportion of degraded mountain land: Montane,15.4.2b Proportion of degraded mountain land: Nival,15.4.2b Proportion of degraded mountain land: Remaining moutain area,15.4.2b Proportion of degraded mountain land: Total,2.1.1 Number of undernourished people,2.1.1 Prevalence of undernourishment,2.1.2 Number of moderately or severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age),2.1.2 Number of moderately or severely food insecure people (female) (15 years old and over),2.1.2 Number of moderately or severely food insecure people (male) (15 years old and over),2.1.2 Number of severely food insecure people (both sexes or no breakdown by sex) (all age ranges or no breakdown by age),2.1.2 Number of severely food insecure people (female) (15 years old and over),2.1.2 Number of severely food insecure people (male) (15 years old and over),2.1.2 Prevalence of moderate or severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation),2.1.2 Prevalence of moderate or severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation),2.1.2 Prevalence of moderate or severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation),2.1.2 Prevalence of severe food insecurity (both sexes or no breakdown by sex) (all age ranges or no breakdown by age) (no breakdown by urbanisation),2.1.2 Prevalence of severe food insecurity (female) (15 years old and over) (no breakdown by urbanisation),2.1.2 Prevalence of severe food insecurity (male) (15 years old and over) (no breakdown by urbanisation),2.3.1 Productivity of large-scale food producers (both sexes or no breakdown by sex) (2017 base period),2.3.1 Productivity of large-scale food producers (female) (2017 base period),2.3.1 Productivity of large-scale food producers (male) (2017 base period),2.3.1 Productivity of small-scale food producers (both sexes or no breakdown by sex) (2017 base period),2.3.1 Productivity of small-scale food producers (female) (2017 base period),2.3.1 Productivity of small-scale food producers (male) (2017 base period),2.3.2 Average income of large-scale food producers (both sexes or no breakdown by sex) (2017 base period),2.3.2 Average income of large-scale food producers (female) (2017 base period),2.3.2 Average income of large-scale food producers (male) (2017 base period),2.3.2 Average income of small-scale food producers (both sexes or no breakdown by sex) (2017 base period),2.3.2 Average income of small-scale food producers (female) (2017 base period),2.3.2 Average income of small-scale food producers (male) (2017 base period),2.4.1 Proportion of agricultural area under productive and sustainable agriculture,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of food security,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability,2.4.1 Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture,2.5.1a Plant genetic resources accessions stored ex situ (number),2.5.1b Number of local breeds for which sufficient genetic resources are stored for reconstitution,2.5.1b Number of local breeds kept in the country,2.5.1b Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution,2.5.2 Number of local breeds (not extinct),2.5.2 Number of local breeds with unknown risk status,2.5.2 Proportion of local breeds classified as being at risk of extinction,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,"5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (both sexes or no breakdown by sex)","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (female)","5.a.1 Proportion of people with ownership or secure rights over agricultural land, by sex (male)",5.a.1 Share of women among owners or rights-bearers of agricultural land,5.a.2 Legal guarantees to women’s equal rights to land ownership and/or control,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),6.4.1 Water Use Efficiency (No breakdown),6.4.1 Water Use Efficiency (Services (G to T)),6.4.2 Level of water stress (Agriculture (ISIC4 A01 A0210 A0322)),6.4.2 Level of water stress (Industries),6.4.2 Level of water stress (No breakdown),6.4.2 Level of water stress (Services (G to T))
2,Afghanistan,2017,,,,,1208.44,1.85,65223.0,,,0.0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,22.7,19347.6,5654.0,4969.6,6181.2,1894.8,1500.8,54.3,57.8,50.8,17.3,19.4,15.3,,,,,,,,,,,,,,,,,,,,,,,,,953.0,,37.0,,37.0,37.0,,3.17,26.42,,,,,,0.11,9.32,0.77,57.81,53.75,0.46,54.76,0.55
2,Afghanistan,2018,,,,,1208.44,1.85,65223.0,,,0.0,1.32,,17553.9,265459.0,21328.5,95182.5,399523.0,0.0,5.77,76.3,0.02,82.45,4.9,0.1,0.05,1.97,10.66,0.22,0.03,15.43,48.49,0.03,72.12,0.03,5.95,0.0,13.88,13.92,2.25,0.0,0.9,71.7,0.05,72.75,10.45,0.0,0.12,0.19,16.56,0.03,0.19,12.21,43.69,0.11,60.83,0.0,3.31,0.0,2.83,36.04,1.61,0.07,13.46,49.8,0.05,69.91,0.79,4.75,0.01,9.99,19.19,1.89,0.08,1012.21,13394.5,3.38,14472.7,859.75,18.23,8.85,346.04,1871.98,38.96,82.21,40960.0,128708.0,67.42,191441.0,71.08,15792.2,3.6,36848.8,36947.9,5977.24,,192.69,15292.0,11.69,15516.1,2229.29,0.62,24.69,39.64,3531.8,6.06,183.06,11619.2,41587.6,105.36,57895.8,3153.22,,2692.9,34305.3,1535.83,265.35,53784.1,198982.0,187.85,279326.0,3160.13,18964.3,37.14,39927.4,76657.0,7558.09,23.52,2990.96,1.16,1358.74,4374.38,0.13,1.13,0.01,1.43,1.09,8.8,24.0,21121.6,6365.3,5317.2,6338.1,2072.0,1432.5,57.6,62.8,52.4,17.3,20.4,14.1,,,,,,,,,,,,,,,,,,,,,,,,,953.0,,37.0,,37.0,37.0,,2.69,22.04,,,,,,0.1,13.6,0.8,59.37,53.75,0.46,54.76,0.55
2,Afghanistan,2019,,,,,1208.44,1.85,65223.0,,,0.0,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,26.9,23872.3,7360.2,5954.0,7472.8,2609.3,1557.4,63.1,69.9,56.5,19.8,24.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,953.0,,37.0,,37.0,37.0,,2.08,25.77,,,,,,0.12,14.55,0.82,57.99,53.75,0.46,54.76,0.55
2,Afghanistan,2020,,,,2.0,1208.44,1.85,65223.0,,0.0,0.0,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,28.8,27290.8,8556.9,6779.2,8792.3,3036.7,1908.4,70.1,78.2,62.0,22.6,27.8,17.5,,,,,,,,,,,,,,,,,,,,,,,,,953.0,,37.0,,37.0,37.0,,2.63,26.82,,,,,,0.12,14.5,0.79,55.58,53.75,0.46,54.76,0.55
2,Afghanistan,2021,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,30.1,31712.0,9685.0,8250.8,11368.9,3775.4,2656.7,79.1,85.5,72.9,28.4,33.3,23.5,,,,,,,,,,,,,,,,,,,,,,,,,953.0,,37.0,,37.0,37.0,,0.76,33.48,,,,,,0.12,12.2,0.6,38.3,53.75,0.46,54.76,0.55
3,Albania,2017,,,,,788.9,28.79,2740.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4.2,1111.8,512.5,405.7,316.7,151.7,109.9,38.6,42.9,34.4,11.0,12.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,4409.0,,44.0,,43.0,34.0,56.0,2.21,19.02,53.83,48.38,59.72,46.72,,1.22,19.65,8.42,21.85,4.2,0.66,6.56,1.7
3,Albania,2018,14.29,3.0,,3.0,788.9,28.79,2740.0,,,0.0,,,12.88,20033.5,,221.1,20267.5,0.54,0.0,53.65,0.0,53.65,0.0,0.0,0.0,41.62,4.19,0.0,0.18,38.25,7.2,0.91,95.62,0.0,3.55,0.05,1.8,1.5,46.57,,,,,,,,,,,,0.09,74.97,3.21,0.11,98.72,0.0,3.47,0.0,0.0,1.08,17.06,0.18,38.62,7.19,0.9,95.63,0.0,3.55,0.05,1.8,1.5,46.22,0.07,,6.91,,6.91,,,,5.36,0.54,,35.64,7662.15,1442.84,181.41,19155.9,,711.42,9.85,360.27,300.23,9329.67,,,,,,,,,,,,0.21,165.75,7.1,0.24,218.26,7.68,,,2.38,37.73,35.93,7827.89,1456.85,181.65,19381.1,,719.1,9.85,365.63,303.15,9367.4,0.0,150.91,,0.29,151.2,0.0,0.75,,0.13,0.75,0.1,4.1,1068.1,487.4,398.3,288.9,131.4,108.1,37.1,40.7,33.6,10.0,11.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,4417.0,,44.0,,43.0,34.0,56.0,2.2,18.43,,,,,,1.35,22.9,10.07,31.52,3.92,0.59,5.76,1.24
3,Albania,2019,,,,,788.9,28.79,2740.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4.1,969.6,447.9,359.2,251.5,117.6,,33.8,37.3,30.2,8.8,9.8,7.7,,,,,,,,,,,,,,,,,,,,,,,,,4432.0,,44.0,,43.0,34.0,56.0,2.04,18.39,,,,,,1.31,11.4,8.72,27.98,4.16,1.21,6.8,1.43
3,Albania,2020,,5.0,,5.0,788.9,28.79,2740.0,,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4.1,886.3,413.2,327.6,220.3,104.5,,30.9,34.3,27.5,7.7,8.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,4432.0,,44.0,,43.0,34.0,56.0,2.08,19.26,,,,,,1.73,133.53,12.09,28.55,3.28,0.1,4.72,1.35
3,Albania,2021,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4.1,860.9,408.7,313.2,213.9,110.3,,30.2,34.0,26.3,7.5,9.2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,4570.0,,44.0,,43.0,34.0,56.0,2.76,17.68,,,,,,1.71,250.26,13.08,31.27,3.39,0.06,4.78,1.33
4,Algeria,2017,,,,,1943.0,0.82,238174.0,29.38,,0.0,11.86,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.6,8124.5,3022.9,2671.4,4691.0,1777.0,1510.0,19.8,21.3,18.2,11.4,12.5,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,18.0,18.0,,3.16,11.76,,,,,,0.86,324.62,14.55,23.47,87.94,2.52,137.92,47.46
4,Algeria,2018,,,,,1930.0,0.81,238174.0,29.18,,0.0,13.5,6.08,,64187.8,,209712.0,273900.0,,,,,,,,,,,,0.52,50.43,0.01,0.05,72.85,0.0,13.34,0.01,22.59,3.99,9.07,,,,,,,,,,,,0.22,13.19,0.0,0.04,20.41,0.0,3.08,0.0,8.38,70.96,4.13,0.29,21.92,0.0,0.04,32.7,0.0,5.49,0.0,11.71,55.26,5.29,,,,,,,,,,,,331.62,32368.7,6.04,31.88,46763.5,,8561.78,6.33,14499.9,2560.96,5820.67,,,,,,,,,,,,452.48,27661.7,5.35,77.5,42802.0,6466.37,0.15,17577.8,148802.0,8668.49,784.1,60030.3,11.38,109.38,89565.5,,15028.2,6.49,32077.7,151363.0,14489.2,,5058.86,,2030.38,7089.25,,7.88,,0.97,2.59,,,7370.0,2740.6,2397.6,3904.2,1465.2,1257.9,17.6,19.1,16.1,9.3,10.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,18.0,18.0,,2.93,11.87,,,,,,0.87,351.43,14.75,22.59,87.94,2.52,137.92,47.46
4,Algeria,2019,,,,,1939.0,0.81,238174.0,29.37,,0.0,13.5,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7521.9,2584.6,2645.6,2966.0,1045.6,1017.3,17.6,17.7,17.5,6.9,7.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,18.0,18.0,,2.75,12.34,,,,,,0.92,335.92,14.77,23.41,87.94,2.52,137.92,47.46
4,Algeria,2020,,,,,1949.0,0.82,238174.0,29.39,0.16,0.0,13.5,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8241.0,2551.7,3174.3,2705.2,783.7,1098.2,19.0,17.2,20.7,6.2,5.3,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,20.0,18.0,100.0,2.89,13.78,,,,,,0.97,279.34,13.89,23.73,87.94,2.52,137.92,47.46
4,Algeria,2021,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8551.8,2553.9,3387.2,2476.0,652.3,1070.9,19.4,17.0,21.7,5.6,4.3,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,22.0,20.0,100.0,2.78,12.18,,,,,,0.89,349.84,14.56,22.09,87.94,2.52,137.92,47.46
5,American Samoa,2017,,,,,17.22,86.1,20.0,146.75,,0.0,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,American Samoa,2018,,,,,17.19,85.95,20.0,148.18,,0.0,14.99,14.99,,,,33.57,33.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42.48,0.0,1.19,98.81,0.0,0.0,0.0,0.0,0.0,56.33,0.0,42.48,0.0,1.19,98.81,0.0,0.0,0.0,0.0,0.0,56.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26,,0.4,33.17,,,,,18.91,,14.26,,0.4,33.17,,,,,,18.91,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,American Samoa,2019,,,,,17.16,85.8,20.0,149.35,,0.0,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,American Samoa,2020,,,,,17.13,85.65,20.0,150.79,-0.17,0.0,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
