Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Armenia,2017,3.096,10.0073488,0.775,2.93495,18.95179,8.1353064,2.49,14.99,0.3,19.72,12509.6,42.0,29.0,2.5,37.1
Armenia,2018,3.166,10.192764,0.781,2.93495,19.82759,7.815752,1.84,13.94,0.23,19.04,13231.4,65.0,26.0,2.5,37.9
Armenia,2019,3.237,8.983380167,0.789,2.93495,16.51976,7.4954305,2.01,11.53,0.18,23.65,14317.6,60.0,25.0,2.5,40.0
Armenia,2020,3.247,7.7963199,0.769,2.93495,13.1877,7.2663097,1.75,11.35,0.18,14.86,13357.7,47.0,24.0,2.5,39.0
Armenia,2021,3.527,8.363881467,0.774,2.93495,15.12082,7.0358744,2.34,11.34,0.17,26.93,14193.1,38.0,24.0,2.5,41.4
Afghanistan,2017,,34.22000333,0.485,45.36517,29.2251,28.06974,3.17,26.42,0.11,9.32,2096.1,26.0,388.0,21.8,
Afghanistan,2018,,34.032113,0.486,45.36517,29.2251,27.506069,2.69,22.04,0.1,13.6,2060.7,27.0,378.0,22.7,
Afghanistan,2019,,33.87052,0.492,45.36517,29.2251,27.02129,2.08,25.77,0.12,14.55,2079.9,31.0,311.0,24.0,
Afghanistan,2020,,33.67465633,0.488,45.36517,29.2251,26.433699,2.63,26.82,0.12,14.5,1968.3,32.0,284.0,26.9,
Afghanistan,2021,,33.58521233,0.473,45.36517,29.2251,26.165367,0.76,33.48,0.12,12.2,1516.3,31.0,238.0,28.8,
Albania,2017,3.952,13.89087167,0.796,12.33344,23.21014,6.129035,2.21,19.02,1.22,19.65,12771.0,46.0,25.0,4.2,31.3
Albania,2018,4.069,13.61178543,0.797,12.33344,22.35084,6.1510763,2.2,18.43,1.35,22.9,13317.1,27.0,21.0,4.2,23.0
Albania,2019,4.262,13.25548697,0.8,12.33344,21.17743,6.2555909,2.04,18.39,1.31,11.4,13653.2,14.0,18.0,4.1,22.2
Albania,2020,4.28,12.91216517,0.784,12.33344,19.73435,6.6687055,2.08,19.26,1.73,133.53,13253.8,13.0,20.0,4.1,19.9
Albania,2021,4.388,12.9528082,0.785,12.33344,19.73435,6.7906346,2.76,17.68,1.71,250.26,14516.3,13.0,24.0,4.1,15.9
Algeria,2017,3.763,21.38347667,0.738,33.68956,16.80919,13.65168,3.16,11.76,0.86,324.62,11809.5,27.0,25.0,2.6,32.5
Algeria,2018,3.822,21.15957433,0.74,33.28262,16.80919,13.386913,2.93,11.87,0.87,351.43,11725.9,51.0,23.0,2.6,31.2
Algeria,2019,3.796,21.06549433,0.742,33.28262,16.80919,13.104673,2.75,12.34,0.92,335.92,11627.3,52.0,22.0,2.5,29.2
Algeria,2020,3.76,20.962807,0.73,33.28262,16.80919,12.796611,2.89,13.78,0.97,279.34,10844.8,42.0,25.0,2.5,31.1
Algeria,2021,4.043,20.84087133,0.74,33.28262,16.80919,12.430804,2.78,12.18,0.89,349.84,11039.8,45.0,28.0,2.5,32.4
American Samoa,2017,,,,,,,,,,,,,,,
American Samoa,2018,,,,,,,,,,,,,,,
American Samoa,2019,,,,,,,,,,,,,,,
American Samoa,2020,,,,,,,,,,,,,,,
American Samoa,2021,,,,,,,,,,,,,,,
Andorra,2017,,9.859477567,0.86,10.0065,14.40248,5.1694527,,,,,,,,,
Andorra,2018,,9.856854633,0.863,10.0065,14.40248,5.1615839,,,,,,,,,
Andorra,2019,,9.8541179,0.865,10.0065,14.40248,5.1533737,,,,,,,,,
Andorra,2020,,9.943633767,0.843,10.0065,14.40248,5.4219213,,,,,,,,,
Andorra,2021,,9.902296567,0.855,10.0065,14.40248,5.2979097,,,,,,,,,
Angola,2017,4.327,37.26607,0.597,34.17144,46.40414,31.22263,0.5,10.02,0.37,196.79,7216.1,90.0,8.0,14.4,81.4
Angola,2018,4.293,37.00980367,0.598,34.17144,46.40414,30.453831,0.41,8.61,0.31,219.18,6878.6,97.0,7.0,14.7,82.7
Angola,2019,4.352,40.65750067,0.597,34.17144,58.06592,29.735142,0.92,7.88,0.28,225.75,6602.4,78.0,7.0,15.2,83.9
Angola,2020,4.585,40.38311133,0.594,34.17144,58.06592,28.911974,0.54,9.95,0.32,182.76,6032.3,27.0,7.0,17.5,86.7
Angola,2021,5.031,40.14169767,0.59,34.17144,58.06592,28.187733,0.73,11.49,0.36,185.38,5908.6,8.0,7.0,20.1,88.1
Antigua and Barbuda,2017,4.112,,0.824,,,5.4084444,1.63,1.79,1.87,88.39,20777.9,,96.0,,
Antigua and Barbuda,2018,4.302,,0.828,,,5.1987162,1.49,1.74,1.93,110.01,22085.3,,98.0,,
Antigua and Barbuda,2019,4.391,,0.831,,,5.0490227,1.23,1.73,2.03,114.57,23035.7,,122.0,,
Antigua and Barbuda,2020,4.504,,0.82,,,4.9473948,2.72,2.21,2.06,86.94,18275.7,,251.0,,
Antigua and Barbuda,2021,4.684,,0.819,,,4.7463059,1.61,2.25,2.13,90.52,19124.4,,401.0,,
Argentina,2017,3.341,12.24447223,0.853,6.20843,22.51794,8.0070467,0.58,5.23,0.07,32.55,23597.1,34.0,3.0,2.9,6.8
Argentina,2018,,12.36516543,0.852,5.95182,23.33001,7.8136663,0.41,5.22,0.06,32.17,22747.2,33.0,5.0,3.3,
Argentina,2019,,12.36082343,0.853,5.7873,23.66641,7.6287603,0.34,6.06,0.07,32.07,22071.7,33.0,5.0,3.4,
Argentina,2020,,12.3575682,0.841,5.69376,23.67966,7.6992846,0.42,6.79,0.07,27.99,19685.2,32.0,6.0,3.4,
Argentina,2021,,11.8552085,0.844,5.34544,22.59534,7.6248455,0.4,6.02,0.07,31.38,21527.2,11.0,5.0,3.3,
Australia,2017,2.259,8.6103412,0.937,4.50189,17.77822,3.5509136,0.65,2.46,0.39,104.32,48400.2,46.0,5.0,2.5,0.7
Australia,2018,2.283,8.887197,0.941,4.74472,18.4899,3.426971,0.63,2.12,0.33,103.87,49052.8,36.0,5.0,2.5,0.7
Australia,2019,2.296,8.905315033,0.941,4.74472,18.4899,3.4813251,0.64,2.01,0.33,112.53,49379.1,29.0,5.0,2.5,0.7
Australia,2020,2.389,8.692916667,0.948,4.74472,18.4899,2.84413,0.49,2.31,0.37,113.11,48747.9,26.0,5.0,2.5,0.7
Australia,2021,2.437,8.657533233,0.949,4.74472,18.4899,2.7379797,0.59,3.17,0.5,122.44,49774.3,38.0,5.0,2.5,0.7
Austria,2017,2.772,7.372051633,0.914,2.9996,15.84823,3.2683249,0.7,1.21,2.0,39.66,54173.0,52.0,7.0,2.5,0.6
Austria,2018,2.848,6.8506218,0.917,2.91745,14.50334,3.1310754,0.7,1.13,1.83,41.48,55217.3,35.0,7.0,2.5,0.8
Austria,2019,2.915,7.1955301,0.92,2.85519,15.38413,3.3472703,0.68,1.05,1.66,42.55,55806.4,18.0,7.0,2.5,0.8
Austria,2020,3.004,6.924020667,0.916,2.52241,15.02185,3.227802,0.69,1.09,1.6,40.29,51988.4,33.0,7.0,2.5,1.0
Austria,2021,3.027,6.954053133,0.92,2.87264,14.7326,3.2569194,0.69,1.21,1.87,42.71,54121.1,33.0,7.0,2.5,0.9
Bahamas,2017,4.276,18.03656017,0.812,6.9139,37.55426,9.6415205,1.08,0.78,,,34357.3,,109.0,,
Bahamas,2018,4.387,17.97231527,0.814,6.9139,37.55426,9.4487858,1.17,0.68,,,34735.1,,103.0,,
Bahamas,2019,4.364,19.49952067,0.802,6.9139,37.55426,14.030402,1.1,0.54,,,35161.8,,94.0,,
Bahamas,2020,4.488,17.77788077,0.798,6.9139,37.55426,8.8654823,0.96,0.83,,,26659.2,,96.0,,
Bahamas,2021,4.661,17.73575253,0.799,6.9139,37.55426,8.7390976,0.85,0.49,,,30210.2,,75.0,,
Bahrain,2017,3.379,,0.867,15.6586,,5.0037541,0.23,0.29,0.63,950.53,48929.4,,11.0,,
Bahrain,2018,3.463,,0.88,12.4916,,4.8726506,0.22,0.29,0.63,1010.77,48937.7,,10.0,,
Bahrain,2019,3.573,,0.888,12.4916,,4.7664437,0.25,0.28,0.63,1011.87,49769.0,,9.0,,
Bahrain,2020,3.835,,0.884,8.8248,,4.6026936,0.21,0.31,0.67,912.37,47847.8,,10.0,,
Bahrain,2021,4.036,,0.884,8.8248,,4.5067406,0.22,0.29,0.64,973.1,49387.4,,9.0,,
Barbados,2017,,21.11701033,0.803,5.54685,48.98357,8.820611,2.44,1.3,0.61,82.11,16199.0,41.0,62.0,2.6,
Barbados,2018,,21.0478079,0.804,5.54685,48.98357,8.6130037,5.29,1.44,0.67,78.2,16003.9,45.0,64.0,2.6,
Barbados,2019,,20.9838596,0.806,5.54685,48.98357,8.4211588,3.28,1.3,0.61,75.79,15954.8,38.0,69.0,2.5,
Barbados,2020,,20.9228219,0.803,5.54685,48.98357,8.2380457,2.64,1.49,0.6,71.72,13805.8,34.0,77.0,2.5,
Barbados,2021,,20.84845407,0.803,5.54685,48.98357,8.0149422,2.14,1.48,0.6,74.7,13754.8,24.0,84.0,2.5,
Bangladesh,2017,2.882,29.67936667,0.622,35.55633,35.7195,17.76227,7.38,12.96,0.85,103.26,4830.8,31.0,21.0,14.3,75.3
Bangladesh,2018,2.971,29.447451,0.636,35.55633,35.7195,17.066523,7.0,12.48,0.88,113.63,5124.5,31.0,19.0,13.6,72.5
Bangladesh,2019,3.024,29.82370667,0.646,37.31177,35.7195,16.43985,6.4,11.98,0.91,125.85,5467.2,38.0,20.0,12.7,70.8
Bangladesh,2020,3.064,29.59952,0.657,37.31177,35.7195,15.76729,6.09,12.0,0.95,129.99,5591.4,38.0,22.0,11.8,68.7
Bangladesh,2021,3.201,29.52483933,0.662,37.31177,35.7195,15.543248,6.7,11.63,0.98,141.39,5911.0,34.0,25.0,11.7,66.1
Bermuda,2017,4.072,,,,,,,,,240.01,81835.0,,,,
Bermuda,2018,3.789,,,,,,,,,257.96,81423.4,,,,
Bermuda,2019,3.834,,,,,,,,,306.26,81681.7,,,,
Bermuda,2020,3.718,,,,,,,,,230.01,76117.8,,,,
Bermuda,2021,3.395,,,,,,,,,262.26,80271.1,,,,
Bhutan,2017,4.383,34.20151467,0.644,48.2273,37.95979,16.417454,12.83,15.03,0.33,213.13,10986.9,,22.0,,51.2
Bhutan,2018,4.587,34.054807,0.655,48.2273,37.95979,15.977331,10.86,15.99,0.36,206.3,11233.8,,23.0,,45.5
Bhutan,2019,4.712,33.919737,0.668,48.2273,37.95979,15.572121,10.26,15.78,0.37,192.49,11797.3,,24.0,,42.3
Bhutan,2020,5.02,33.79747533,0.675,48.2273,37.95979,15.205336,11.84,19.23,0.41,123.28,10547.1,,24.0,,45.7
Bhutan,2021,5.339,33.70317633,0.677,48.2273,37.95979,14.922439,12.21,17.0,0.35,158.72,10907.9,,24.0,,45.2
Bolivia (Plurinational State of),2017,3.551,24.22974633,0.707,19.3022,33.80645,19.580589,2.38,11.59,0.37,271.46,8244.9,25.0,8.0,14.9,20.9
Bolivia (Plurinational State of),2018,3.648,22.44564,0.712,17.56788,30.44373,19.32531,3.32,11.48,0.4,281.75,8466.3,27.0,8.0,14.2,19.1
Bolivia (Plurinational State of),2019,3.769,21.21205,0.715,16.23501,28.35491,19.04623,1.94,12.22,0.45,275.01,8528.7,30.0,8.0,13.8,16.0
Bolivia (Plurinational State of),2020,3.755,22.238683,0.691,17.33,30.94795,18.438099,2.06,14.0,0.48,230.48,7679.9,20.0,8.0,13.7,17.2
Bolivia (Plurinational State of),2021,3.927,19.99182833,0.691,15.0406,26.91283,18.022055,1.99,12.92,0.48,278.16,8052.2,18.0,7.0,16.2,15.1
Botswana,2017,3.622,30.461721,0.705,23.27683,45.48167,22.626663,3.46,1.84,0.08,228.77,14656.8,26.0,9.0,25.0,63.2
Botswana,2018,3.575,30.479746,0.7,23.27683,45.48167,22.680738,4.43,2.12,0.08,191.61,14962.1,32.0,9.0,26.3,60.8
Botswana,2019,3.591,30.386461,0.703,23.27683,45.48167,22.400883,3.66,2.09,0.09,177.7,15118.0,44.0,11.0,26.4,59.8
Botswana,2020,3.701,30.18335433,0.701,23.27683,45.48167,21.791563,3.71,2.21,0.08,125.09,13545.7,36.0,13.0,26.4,63.4
Botswana,2021,3.829,30.10781,0.68,23.27683,45.48167,21.56493,2.79,1.72,0.06,170.89,14840.9,22.0,14.0,24.5,60.3
Brazil,2017,2.809,23.03544467,0.758,16.51122,42.52005,10.075064,0.93,4.6,0.39,29.37,14477.9,37.0,4.0,2.5,19.6
Brazil,2018,2.8,22.81704493,0.762,15.53908,43.01739,9.8946648,0.91,4.42,0.4,33.19,14619.6,39.0,4.0,2.5,18.5
Brazil,2019,2.882,22.51677627,0.764,15.14731,42.6904,9.7126188,0.86,4.21,0.36,33.44,14685.1,37.0,4.0,2.5,18.8
Brazil,2020,3.084,21.18939173,0.758,13.80275,39.77494,9.9904852,0.73,5.82,0.51,31.41,14022.0,26.0,4.0,2.5,12.7
Brazil,2021,3.35,22.53167223,0.756,13.88125,43.72531,9.9884567,0.83,6.89,0.63,30.47,14592.4,27.0,4.0,3.7,22.4
Aruba,2017,3.418,,,,,,,,,,,,,,
Aruba,2018,3.62,,,,,,,,,,,,,,
Aruba,2019,3.907,,,,,,,,,,,,,,
Aruba,2020,4.007,,,,,,,,,,,,,,
Aruba,2021,4.116,,,,,,,,,,,,,,
Belize,2017,2.476,,0.716,14.81278,,9.0949755,1.43,8.49,0.16,12.03,8873.8,39.0,26.0,6.4,50.9
Belize,2018,2.517,,0.715,14.81278,,8.7001572,1.37,7.07,0.14,12.21,8798.5,24.0,28.0,6.0,50.7
Belize,2019,2.574,,0.718,14.81278,,8.329051,1.21,6.49,0.13,13.25,9028.6,26.0,29.0,5.3,49.4
Belize,2020,2.632,,0.705,14.81278,,9.2002058,1.32,8.39,0.15,12.08,7703.1,40.0,30.0,4.8,57.0
Belize,2021,2.797,,0.698,14.81278,,9.2476139,0.98,7.69,0.16,15.3,8762.6,41.0,32.0,4.7,53.0
Solomon Islands,2017,,,0.566,,22.54307,13.367217,3.69,33.28,,,2625.1,19.0,25.0,20.9,
Solomon Islands,2018,,,0.568,,22.54307,13.058228,3.69,33.97,,,2633.3,30.0,24.0,20.2,
Solomon Islands,2019,,,0.568,,22.54307,12.742557,3.69,32.67,,,2616.9,31.0,24.0,19.8,
Solomon Islands,2020,,,0.566,,22.54307,12.592691,2.96,34.12,,,2469.1,25.0,24.0,19.9,
Solomon Islands,2021,,,0.564,,22.54307,12.079494,3.81,33.59,,,2406.1,14.0,24.0,19.5,
Brunei Darussalam,2017,4.126,11.48082343,0.829,14.9179,12.12374,7.4008303,0.79,1.09,5.31,,60173.1,,7.0,,
Brunei Darussalam,2018,4.263,11.50769383,0.826,14.9179,12.12374,7.4814415,0.8,1.02,4.97,,59650.2,,7.0,,
Brunei Darussalam,2019,4.327,11.5273419,0.827,14.9179,12.12374,7.5403857,0.76,0.99,5.0,,61424.4,,6.0,,
Brunei Darussalam,2020,4.405,11.534425,0.827,14.9179,12.12374,7.561635,0.87,1.22,6.25,,61603.6,,6.0,,
Brunei Darussalam,2021,4.641,11.51502663,0.824,14.9179,12.12374,7.5034399,0.82,1.26,6.34,,60127.0,,5.0,,
Bulgaria,2017,3.78,12.82118557,0.81,6.32881,26.33557,5.7991767,2.47,4.04,0.12,2.67,21470.0,42.0,9.0,3.8,10.6
Bulgaria,2018,3.876,12.29027207,0.811,6.09875,25.22533,5.5467362,2.4,3.38,0.11,2.7,22206.2,42.0,9.0,3.1,8.6
Bulgaria,2019,4.036,12.50645223,0.813,6.20973,25.91953,5.3900967,2.37,3.24,0.13,2.82,23266.1,39.0,9.0,2.8,8.1
